id	text	wav_path	lang
cute_0045	但是就是美味但是我好像没事妄想	/home/morusa/dataset/train/wavs_pkg/wavs/0045_SSB06070292.wav	zh
cute_0055	禁止倒卖用户真正的秘密在转让定价	/home/morusa/dataset/train/wavs_pkg/wavs/0055_SSB09870193.wav	zh
cute_0078	一月一日上门服务九月一日上午九点多	/home/morusa/dataset/train/wavs_pkg/wavs/0078_SSB06320456.wav	zh
cute_0090	稻田的生物有什么	/home/morusa/dataset/train/wavs_pkg/wavs/0090_SSB02670208.wav	zh
cute_0105	含边真是那位计入楼四平稳维度	/home/morusa/dataset/train/wavs_pkg/wavs/0105_SSB14480213.wav	zh
cute_0094	有卡亲的妻子人和人呢	/home/morusa/dataset/train/wavs_pkg/wavs/0094_SSB10960217.wav	zh
afw_bEn7uaL1	バーベキューをした時にご飯が余ってしまって焼きおにぎりしようと思って、サムジャンとかニンニクもあったのでこのソースを作って焼きおにぎりにして食べたところものすごく美味しくてこのソースですので	/home/morusa/dataset/train/ja-2/JTubeSpeech-ASV/train/AFW/AFW_bEn7uaL1.mp3	ja
afw_tgZ02ah6	三魚草食べる時にもぴったりですし、あとは、もしゆで豚とかあるんだったら、ゆで豚つけて食べてもポッサルみたいな感じになって、すごく美味しいと思います。あとは、私が過去に作ったことがあるのは、これを使って、	/home/morusa/dataset/train/ja-2/JTubeSpeech-ASV/train/AFW/AFW_tgZ02ah6.mp3	ja
afw_0ec8TkEL	食べ辛いものが苦手な人でも食べれるかなっていうふうに思います年中売ってて洗いがもうそのまますぐ食べられるので便利な野菜ですね中の種もそのまま食べちゃうので多分なんか栄養価も高いんじゃないかなっていうふうに思います	/home/morusa/dataset/train/ja-2/JTubeSpeech-ASV/train/AFW/AFW_0ec8TkEL.mp3	ja
afw_RC3b1nX7	ちょっと匂いが気になるよっていう方は最悪入れなくてもいいかもしれないんですけど入れた方が絶対に確実に美味しいですねこのソースのアレンジなんですけど結構これ本当に何にでもあってもちろんこういう風に野菜をリップして食べても美味しいですしあとは	/home/morusa/dataset/train/ja-2/JTubeSpeech-ASV/train/AFW/AFW_RC3b1nX7.mp3	ja
afw_Fni1x4S1	意外に白身魚のお刺身にすごく合います。っていうのも、このソースを初めて知ったのも、実はプサンのキジャンっていう地域にあるお刺身屋さんでこれが出てきて、こんな美味しいものがあるのかっていうふうに本当にその時驚いたんですけど、	/home/morusa/dataset/train/ja-2/JTubeSpeech-ASV/train/AFW/AFW_Fni1x4S1.mp3	ja
afw_itW1zTBu	その時はたぶん、ヒラメの刺身だったと思うんですけど、ヒラメの刺身をこの山中に置いて、このソースを乗せて刺身を巻いて食べるっていうのだったんですけど、これすっごく美味しいです。もちろんサムジャンなので、	/home/morusa/dataset/train/ja-2/JTubeSpeech-ASV/train/AFW/AFW_itW1zTBu.mp3	ja
